unique_id,accession_id,seq_name,organism,org_abv,country,loc_abv,type,region,db
_300,SRR15173519,AmMe_GBR_A_300 #B:16_SRR15173519,Apis mellifera mellifera,AmMe,United Kingdom,GBR,A,"Scotland, Colonsay",B
_325,SRR15173511,AmMe_FRA_A_325 #B:13_SRR15173511,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_326,SRR15173531,AmMe_FRA_A_326 #B:23_SRR15173531,Apis mellifera mellifera,AmMe,France,FRA,A,Sollies,B
_327,SRR15173532,AmMe_FRA_A_327 #B:24_SRR15173532,Apis mellifera mellifera,AmMe,France,FRA,A,Sollies,B
_328,SRR15173539,AmMe_FRA_A_328 #B:27_SRR15173539,Apis mellifera mellifera,AmMe,France,FRA,A,Sollies,B
_329,SRR15173540,AmMe_FRA_A_329 #B:28_SRR15173540,Apis mellifera mellifera,AmMe,France,FRA,A,Sollies,B
_330,SRR15173542,AmMe_FRA_A_330 #B:30_SRR15173542,Apis mellifera mellifera,AmMe,France,FRA,A,Sollies,B
_331,SRR15173564,AmMe_FRA_A_331 #B:31_SRR15173564,Apis mellifera mellifera,AmMe,France,FRA,A,Porquerolles,B
_332,SRR15173566,AmMe_FRA_A_332 #B:33_SRR15173566,Apis mellifera mellifera,AmMe,France,FRA,A,Porquerolles,B
_333,SRR15173569,AmMe_FRA_A_333 #B:35_SRR15173569,Apis mellifera mellifera,AmMe,France,FRA,A,Porquerolles,B
_334,SRR15173570,AmMe_FRA_A_334 #B:36_SRR15173570,Apis mellifera mellifera,AmMe,France,FRA,A,Porquerolles,B
_335,SRR15173573,AmMe_FRA_A_335 #B:39_SRR15173573,Apis mellifera mellifera,AmMe,France,FRA,A,Porquerolles,B
_336,SRR15173883,AmMe_FRA_A_336 #B:40_SRR15173883,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_337,SRR15173884,AmMe_FRA_A_337 #B:41_SRR15173884,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_338,SRR15173885,AmMe_FRA_A_338 #B:42_SRR15173885,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_339,SRR15173886,AmMe_FRA_A_339 #B:43_SRR15173886,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_340,SRR15173887,AmMe_FRA_A_340 #B:44_SRR15173887,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_341,SRR15173896,AmMe_FRA_A_341 #B:46_SRR15173896,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_342,SRR15173924,AmMe_FRA_A_342 #B:49_SRR15173924,Apis mellifera mellifera,AmMe,France,FRA,A,Ouessant,B
_343,SRR15173925,AmMe_FRA_A_343 #B:50_SRR15173925,Apis mellifera mellifera,AmMe,France,FRA,A,Ouessant,B
_344,SRR15266709,AmMe_FRA_A_344 #B:52_SRR15266709,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_345,SRR15266710,AmMe_FRA_A_345 #B:53_SRR15266710,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_346,SRR15173345,AmMe_FRA_A_346 #B:54_SRR15173345,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
_347,SRR15173356,AmMe_FRA_A_347 #B:55_SRR15173356,Apis mellifera mellifera,AmMe,France,FRA,A,Ariege,B
