Sub species,Code
Apis mellifera,Am
Apis mellifera adansonii,AmAd
Apis mellifera anatoliaca,AmAn
Apis mellifera capensis,AmCa
Apis mellifera capensis x Apis mellifera scutellata,AmCaSc
Apis mellifera carnica,AmCr
Apis mellifera caucasica,AmCu
Apis mellifera hybrid,AmHy
Apis mellifera iberiensis,AmIb
Apis mellifera intermissa,AmIn
Apis mellifera jemenitica,AmJe
Apis mellifera lamarckii,AmLa
Apis mellifera ligustica,AmLi
Apis mellifera meda,AmMd
Apis mellifera mellifera,AmMe
Apis mellifera monticola,AmMo
Apis mellifera ruttneri,AmRu
Apis mellifera sahariensis,AmSa
Apis mellifera scutellata,AmSc
Apis mellifera scutellata x Apis mellifera capensis,AmScCa
Apis mellifera siciliana,AmSi
Apis mellifera simensis,AmSm
Apis mellifera sinisxinyuan,AmSn
Apis mellifera syriaca,AmSy
Apis mellifera unicolor,AmUn
